Code,Crime Desc,Key
110,CRIMINAL HOMICIDE,Killing
113,"MANSLAUGHTER, NEGLIGENT",Killing
121,"RAPE, FORCIBLE",Rape
122,"RAPE, ATTEMPTED",Rape
210,ROBBERY,Robbery
220,ATTEMPTED ROBBERY,Violence
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Violence
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Violence
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Violence
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,Violence
237,CHILD NEGLECT (SEE 300 W.I.C.),Other
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Other
251,SHOTS FIRED AT INHABITED DWELLING,Other
310,BURGLARY,Burglary
320,"BURGLARY, ATTEMPTED",Burglary
330,BURGLARY FROM VEHICLE,Burglary
331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),Burglary
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Burglary
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Burglary
345,DISHONEST EMPLOYEE - GRAND THEFT,Burglary
347,GRAND THEFT / INSURANCE FRAUD,Burglary
349,GRAND THEFT / AUTO REPAIR,Burglary
350,"THEFT, PERSON",Burglary
351,PURSE SNATCHING,Robbery
352,PICKPOCKET,Burglary
353,DRUNK ROLL,Robbery
354,THEFT OF IDENTITY,Burglary
410,"BURGLARY FROM VEHICLE, ATTEMPTED",Burglary
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Burglary
421,THEFT FROM MOTOR VEHICLE - ATTEMPT,Burglary
432,BLOCKING DOOR INDUCTION CENTER,Other
433,DRIVING WITHOUT OWNER CONSENT (DWOC),VAL
434,FALSE IMPRISONMENT,Other
435,LYNCHING,Violence
436,LYNCHING - ATTEMPTED,Violence
437,RESISTING ARREST,Violence
438,RECKLESS DRIVING,VAL
439,FALSE POLICE REPORT,Other
440,THEFT PLAIN - PETTY ($950 & UNDER),Burglary
441,THEFT PLAIN - ATTEMPT,Burglary
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Burglary
443,SHOPLIFTING - ATTEMPT,Burglary
444,DISHONEST EMPLOYEE - PETTY THEFT,Burglary
445,DISHONEST EMPLOYEE ATTEMPTED THEFT,Burglary
446,PETTY THEFT - AUTO REPAIR,Burglary
450,THEFT FROM PERSON - ATTEMPT,Burglary
451,PURSE SNATCHING - ATTEMPT,Robbery
452,"PICKPOCKET, ATTEMPT",Burglary
453,DRUNK ROLL - ATTEMPT,Robbery
470,TILL TAP - GRAND THEFT ($950.01 & OVER),Burglary
471,TILL TAP - PETTY ($950 & UNDER),Burglary
472,TILL TAP - ATTEMPT,Burglary
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",Burglary
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",Burglary
475,"THEFT, COIN MACHINE - ATTEMPT",Burglary
480,BIKE - STOLEN,Burglary
485,BIKE - ATTEMPTED STOLEN,Burglary
487,BOAT - STOLEN,Auto-Theft
510,VEHICLE - STOLEN,Auto-Theft
520,VEHICLE - ATTEMPT STOLEN,Auto-Theft
622,BATTERY ON A FIREFIGHTER,Violence
623,BATTERY POLICE (SIMPLE),Violence
624,BATTERY - SIMPLE ASSAULT,Violence
625,OTHER ASSAULT,Violence
626,INTIMATE PARTNER - SIMPLE ASSAULT,Verbal
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Violence
647,THROWING OBJECT AT MOVING VEHICLE,Violence
648,ARSON,Arson
649,DOCUMENT FORGERY / STOLEN FELONY,Fraud
651,DOCUMENT WORTHLESS ($200.01 & OVER),Fraud
652,DOCUMENT WORTHLESS ($200 & UNDER),Fraud
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Fraud
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",Fraud
660,COUNTERFEIT,Fraud
661,UNAUTHORIZED COMPUTER ACCESS,Fraud
662,"BUNCO, GRAND THEFT",Burglary
664,"BUNCO, PETTY THEFT",Burglary
666,"BUNCO, ATTEMPT",Burglary
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Burglary
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Burglary
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Vandalism
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),Vandalism
753,DISCHARGE FIREARMS/SHOTS FIRED,Other
755,BOMB SCARE,Other
756,WEAPONS POSSESSION/BOMBING,Other
760,LEWD/LASCIVIOUS ACTS WITH CHILD,Sexual
761,BRANDISH WEAPON,Other
762,LEWD CONDUCT,Sexual
763,STALKING,Other
805,PIMPING,Other
806,PANDERING,Other
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Rape
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Violence
813,CHILD ANNOYING (17YRS & UNDER),Other
814,CHILD PORNOGRAPHY,Other
815,SEXUAL PENETRATION W/FOREIGN OBJECT,Rape
820,ORAL COPULATION,Other
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Sexual
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Sexual
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),Sexual
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",Sexual
850,INDECENT EXPOSURE,Sexual
860,BATTERY WITH SEXUAL CONTACT,Violence
865,"DRUGS, TO A MINOR",Other
870,CHILD ABANDONMENT,Other
880,DISRUPT SCHOOL,Other
882,INCITING A RIOT,Other
884,FAILURE TO DISPERSE,Other
886,DISTURBING THE PEACE,Verbal
888,TRESPASSING,B&E
890,FAILURE TO YIELD,VAL
900,VIOLATION OF COURT ORDER,Violation
901,VIOLATION OF RESTRAINING ORDER,Violation
902,VIOLATION OF TEMPORARY RESTRAINING ORDER,Violation
903,CONTEMPT OF COURT,Violation
905,FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIR...,Other
906,FIREARMS RESTRAINING ORDER (FIREARMS RO),Other
910,KIDNAPPING,Kidnapping
910,KIDNAPPING,Kidnapping
920,KIDNAPPING - GRAND ATTEMPT,Kidnapping
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Other
922,CHILD STEALING,Kidnapping
924,TELEPHONE PROPERTY - DAMAGE,Verbal
928,THREATENING PHONE CALLS/LETTERS,Verbal
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,Verbal
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",Other
932,PEEPING TOM,Other
933,PROWLER,Other
940,EXTORTION,Verbal
942,BRIBERY,Other
943,CRUELTY TO ANIMALS,Violence
944,CONSPIRACY,Other
946,OTHER MISCELLANEOUS CRIME,Other
948,BIGAMY,Other
949,ILLEGAL DUMPING,Other
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",Fraud
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",Fraud
952,ABORTION/ILLEGAL,Other
954,CONTRIBUTING,Other
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Verbal
